date,discharge,month,year,average_percentage,percentile,percentile_range
1995-06-30,76.350,6,1995,0.089,0.585,Normal range
1995-07-31,264.864,7,1995,1.863,0.951,High flow
1995-08-31,48.072,8,1995,-0.336,0.439,Normal range
1995-09-30,21.183,9,1995,-0.792,0.119,Low flow
1995-10-31,34.682,10,1995,-0.479,0.395,Normal range
1995-11-30,,11,1995,,,
1995-12-31,,12,1995,,,
1996-01-31,,1,1996,,,
1996-02-29,3.916,2,1996,-0.849,0.452,Normal range
1996-03-31,2.108,3,1996,-0.884,0.325,Normal range
1996-04-30,98.374,4,1996,0.867,0.850,Above normal
1996-05-31,7.924,5,1996,-0.876,0.341,Normal range
1996-06-30,7.556,6,1996,-0.892,0.122,Low flow
1996-07-31,3.488,7,1996,-0.962,0.049,Low flow
1996-08-31,4.884,8,1996,-0.933,0.073,Low flow
1996-09-30,147.404,9,1996,0.445,0.762,Above normal
1996-10-31,29.583,10,1996,-0.556,0.349,Normal range
1996-11-30,95.085,11,1996,1.168,0.854,Above normal
1996-12-31,2.266,12,1996,-0.898,0.381,Normal range
1997-01-31,0.289,1,1997,-0.981,0.122,Low flow
1997-02-28,20.234,2,1997,-0.218,0.690,Normal range
1997-03-31,3.313,3,1997,-0.818,0.400,Normal range
1997-04-30,1.272,4,1997,-0.976,0.225,Below normal
1997-05-31,9.726,5,1997,-0.847,0.439,Normal range
1997-06-30,50.502,6,1997,-0.279,0.512,Normal range
1997-07-31,14.820,7,1997,-0.840,0.195,Below normal
1997-08-31,95.315,8,1997,0.316,0.683,Normal range
1997-09-30,120.852,9,1997,0.184,0.690,Normal range
1997-10-31,62.880,10,1997,-0.056,0.651,Normal range
1997-11-30,222.840,11,1997,4.081,0.951,High flow
1997-12-31,132.660,12,1997,4.951,0.952,High flow
1998-01-31,183.526,1,1998,11.228,0.951,High flow
1998-02-28,,2,1998,,,
1998-03-31,,3,1998,,,
1998-04-30,,4,1998,,,
1998-05-31,,5,1998,,,
1998-06-30,131.727,6,1998,0.880,0.805,Above normal
1998-07-31,217.280,7,1998,1.348,0.829,Above normal
1998-08-31,144.100,8,1998,0.990,0.854,Above normal
1998-09-30,89.344,9,1998,-0.124,0.595,Normal range
1998-10-31,5.648,10,1998,-0.915,0.093,Low flow
1998-11-30,1.303,11,1998,-0.970,0.073,Low flow
1998-12-31,1.744,12,1998,-0.922,0.238,Below normal
1999-01-31,1.971,1,1999,-0.869,0.390,Normal range
1999-02-28,7.342,2,1999,-0.716,0.595,Normal range
1999-03-31,4.952,3,1999,-0.727,0.450,Normal range
1999-04-30,15.502,4,1999,-0.706,0.550,Normal range
1999-05-31,2.439,5,1999,-0.962,0.146,Below normal
1999-06-30,65.700,6,1999,-0.063,0.537,Normal range
1999-07-31,86.579,7,1999,-0.064,0.512,Normal range
1999-08-31,24.029,8,1999,-0.668,0.195,Below normal
1999-09-30,83.892,9,1999,-0.178,0.548,Normal range
1999-10-31,14.284,10,1999,-0.786,0.209,Below normal
1999-11-30,0.694,11,1999,-0.984,0.049,Low flow
1999-12-31,0.281,12,1999,-0.987,0.024,Low flow
2000-01-31,0.101,1,2000,-0.993,0.024,Low flow
2000-02-29,0.103,2,2000,-0.996,0.024,Low flow
2000-03-31,0.465,3,2000,-0.974,0.075,Low flow
2000-04-30,26.578,4,2000,-0.496,0.600,Normal range
2000-05-31,321.260,5,2000,4.038,0.976,High flow
2000-06-30,143.083,6,2000,1.042,0.878,High flow
2000-07-31,221.156,7,2000,1.390,0.854,Above normal
2000-08-31,45.926,8,2000,-0.366,0.390,Normal range
2000-09-30,133.068,9,2000,0.304,0.738,Above normal
2000-10-31,57.509,10,2000,-0.137,0.581,Normal range
2000-11-30,15.058,11,2000,-0.657,0.488,Normal range
2000-12-31,5.580,12,2000,-0.750,0.524,Normal range
2001-01-31,6.741,1,2001,-0.551,0.610,Normal range
2001-02-28,2.041,2,2001,-0.921,0.310,Normal range
2001-03-31,147.579,3,2001,7.130,0.950,High flow
2001-04-30,40.977,4,2001,-0.222,0.650,Normal range
2001-05-31,139.431,5,2001,1.187,0.829,Above normal
2001-06-30,141.395,6,2001,1.018,0.854,Above normal
2001-07-31,151.576,7,2001,0.638,0.707,Normal range
2001-08-31,28.130,8,2001,-0.611,0.244,Below normal
2001-09-30,263.585,9,2001,1.583,0.929,High flow
2001-10-31,190.814,10,2001,1.864,0.930,High flow
2001-11-30,108.180,11,2001,1.467,0.878,High flow
2001-12-31,19.517,12,2001,-0.124,0.786,Above normal
2002-01-31,4.569,1,2002,-0.696,0.537,Normal range
2002-02-28,6.304,2,2002,-0.756,0.524,Normal range
2002-03-31,84.985,3,2002,3.682,0.900,High flow
2002-04-30,361.815,4,2002,5.866,0.950,High flow
2002-05-31,90.996,5,2002,0.427,0.780,Above normal
2002-06-30,223.982,6,2002,2.196,0.927,High flow
2002-07-31,166.181,7,2002,0.796,0.756,Above normal
2002-08-31,178.953,8,2002,1.472,0.902,High flow
2002-09-30,65.563,9,2002,-0.357,0.429,Normal range
2002-10-31,124.385,10,2002,0.867,0.814,Above normal
2002-11-30,20.547,11,2002,-0.531,0.561,Normal range
2002-12-31,190.006,12,2002,7.524,0.976,High flow
2003-01-31,13.532,1,2003,-0.098,0.854,Above normal
2003-02-28,62.967,2,2003,1.433,0.857,Above normal
2003-03-31,39.276,3,2003,1.164,0.850,Above normal
2003-04-30,22.626,4,2003,-0.571,0.575,Normal range
2003-05-31,197.595,5,2003,2.099,0.902,High flow
2003-06-30,81.979,6,2003,0.170,0.634,Normal range
2003-07-31,16.704,7,2003,-0.819,0.220,Below normal
2003-08-31,91.235,8,2003,0.260,0.634,Normal range
