date,discharge,month,year,average_percentage,percentile,percentile_range
1994-01-31,3.522,1,1994,-0.470,0.659,Normal range
1994-02-28,2.205,2,1994,-0.824,0.512,Normal range
1994-03-31,1.330,3,1994,-0.899,0.293,Normal range
1994-04-30,1.546,4,1994,-0.860,0.262,Below normal
1994-05-31,28.340,5,1994,0.827,0.833,Above normal
1994-06-30,7.386,6,1994,-0.755,0.238,Below normal
1994-07-31,20.567,7,1994,-0.277,0.381,Normal range
1994-08-31,23.447,8,1994,-0.049,0.548,Normal range
1994-09-30,39.160,9,1994,0.326,0.775,Above normal
1994-10-31,10.544,10,1994,-0.525,0.475,Normal range
1994-11-30,21.058,11,1994,0.846,0.780,Above normal
1994-12-31,7.455,12,1994,-0.400,0.780,Above normal
1995-01-31,1.228,1,1995,-0.815,0.439,Normal range
1995-02-28,3.603,2,1995,-0.712,0.659,Normal range
1995-03-31,7.181,3,1995,-0.453,0.683,Normal range
1995-04-30,31.487,4,1995,1.844,0.881,High flow
1995-05-31,6.556,5,1995,-0.577,0.476,Normal range
1995-06-30,24.140,6,1995,-0.200,0.595,Normal range
1995-07-31,41.943,7,1995,0.475,0.762,Above normal
1995-08-31,5.469,8,1995,-0.778,0.095,Low flow
1995-09-30,3.497,9,1995,-0.882,0.025,Low flow
1995-10-31,5.272,10,1995,-0.763,0.375,Normal range
1995-11-30,7.697,11,1995,-0.325,0.488,Normal range
1995-12-31,0.695,12,1995,-0.944,0.098,Low flow
1996-01-31,0.261,1,1996,-0.961,0.098,Low flow
1996-02-29,0.283,2,1996,-0.977,0.049,Low flow
1996-03-31,1.844,3,1996,-0.860,0.415,Normal range
1996-04-30,9.009,4,1996,-0.186,0.738,Above normal
1996-05-31,1.980,5,1996,-0.872,0.119,Low flow
1996-06-30,1.159,6,1996,-0.962,0.048,Low flow
1996-07-31,1.351,7,1996,-0.953,0.048,Low flow
1996-08-31,,8,1996,,,
1996-09-30,,9,1996,,,
1996-10-31,,10,1996,,,
1996-11-30,,11,1996,,,
1996-12-31,,12,1996,,,
1997-01-31,,1,1997,,,
1997-02-28,,2,1997,,,
1997-03-31,,3,1997,,,
1997-04-30,1.398,4,1997,-0.874,0.238,Below normal
1997-05-31,4.851,5,1997,-0.687,0.357,Normal range
1997-06-30,48.189,6,1997,0.596,0.762,Above normal
1997-07-31,7.813,7,1997,-0.725,0.167,Below normal
1997-08-31,23.123,8,1997,-0.062,0.500,Normal range
1997-09-30,6.963,9,1997,-0.764,0.250,Below normal
1997-10-31,5.173,10,1997,-0.767,0.350,Normal range
1997-11-30,25.696,11,1997,1.252,0.878,High flow
1997-12-31,29.910,12,1997,1.407,0.878,High flow
1998-01-31,14.208,1,1998,1.139,0.878,High flow
1998-02-28,1.507,2,1998,-0.879,0.317,Normal range
1998-03-31,0.822,3,1998,-0.937,0.146,Below normal
1998-04-30,8.524,4,1998,-0.230,0.714,Normal range
1998-05-31,5.278,5,1998,-0.660,0.381,Normal range
1998-06-30,16.610,6,1998,-0.450,0.381,Normal range
1998-07-31,40.976,7,1998,0.441,0.714,Normal range
1998-08-31,7.949,8,1998,-0.678,0.143,Below normal
1998-09-30,12.636,9,1998,-0.572,0.375,Normal range
1998-10-31,1.943,10,1998,-0.913,0.125,Low flow
1998-11-30,7.964,11,1998,-0.302,0.512,Normal range
1998-12-31,8.237,12,1998,-0.337,0.805,Above normal
1999-01-31,10.292,1,1999,0.549,0.805,Above normal
1999-02-28,26.736,2,1999,1.139,0.854,Above normal
1999-03-31,11.055,3,1999,-0.158,0.805,Above normal
1999-04-30,4.503,4,1999,-0.593,0.524,Normal range
1999-05-31,3.062,5,1999,-0.803,0.310,Normal range
1999-06-30,48.445,6,1999,0.605,0.786,Above normal
1999-07-31,50.202,7,1999,0.765,0.881,High flow
1999-08-31,13.149,8,1999,-0.467,0.333,Normal range
1999-09-30,24.672,9,1999,-0.164,0.650,Normal range
1999-10-31,0.255,10,1999,-0.989,0.025,Low flow
1999-11-30,0.118,11,1999,-0.990,0.024,Low flow
1999-12-31,2.827,12,1999,-0.773,0.537,Normal range
2000-01-31,0.323,1,2000,-0.951,0.146,Below normal
